NOM_VILLE,CODE_POSTAL
EN LIGNE,NULL
Gif-sur-Yvette,91191
Paris,75015
Puteaux,92800
Paris,75004
Paris,75010
Paris,75020
Paris,75008
Saint-Denis,93210
Paris,75012
Paris,75011
Paris,75014
Paris,75009
Paris,75002
Neuilly-sur-Seine,92200
Levallois-Perret,92300
Paris,75017
Saint-Mandé,94160
Paris,75001
Cachan,94230
Paris,75003
Saint-Denis,93200
Paris,75116
Paris,75018
Croissy,78290
Andrésy,78570
Paris,75005
Rueil-Malmaison,92500
Montrouge,92120
Paris,75019
Issy-les-Moulineaux,92130
Paris,75013
Gennevilliers,92230
Montreuil,93100
Fontenay-aux-Roses,92260
Clichy,92110
Palaiseau,91120
Boulogne-Billancourt,92100
Noisy-le-Grand,93160
Paris,75007
Paris,75141
Paris Cedex 19,75169
Paris,75016
Courbevoie,92400
Morangis,91420
Paris,75006
Champs-sur-Marne,77420
Vincennes,94300
Saint-Ouen-sur-Seine,93400
Viroflay,78220
Juvisy-sur-Orge,91260
Colombes,92700
Pantin,93500
Eaubonne,95600
Paris,50101
Arcueil,94110
Charenton-le-Pont,94220
Antony,92160
Malakoff,92240
Rungis,94150
Fontenay-sous-Bois,94120
Le Bourget,93350
Rosny-sous-Bois,93110
Chennevières-lès-Louvres,95380
Meaux,77100
Vernon,27200
Asnières-sur-Seine,92600
Saint-Maur-des-Fossés,94210
Nanterre,92000
Bagnolet,93170
Châtenay-Malabry,92290
Montmorency,95160
Suresnes,92150
Tremblay-en-France,93290
Noisiel,77186
Sannois,95110
Ivry-sur-Seine,94200
Versailles,78000
Bussy-Saint-Georges,77600
Stains,93240
Buc,78530
Joinville-le-Pont,94340
Vitry-sur-Seine,94400
Chelles,77500
Montigny-le-Bretonneux,78180
Saint-Maur-des-Fossés,94100
Le Chesnay-Rocquencourt,78150
Gonesse,95500
Villeneuve-la-Garenne,92390
Créteil,94000
Tremblay-en-France,63054
Chantilly,60500
Lognes,77185
Châtillon,92320
Us,95450
Senlis,60300
Le Kremlin-Bicêtre,94270
Bailly-Romainvilliers,77700
Nivillac,56130
Alfortville,94140
Montrouge,92121
Saint-Marcel,22265
